X,Y,OBJECTID_1,OBJECTID,Name,Address,Postcode,Town,Type_,Comments
-6.950855529054675,55.05022801784645,36,39,The Thatch Bar,"10 Catherine Street, Limavady, County Londonderry",BT49 9DB,Limavady,Pub, 
-6.951826489429081,55.050240309751203,37,40,Granny Annie's Bar and Grill,"23-29 Catherine Street, Limavady, County Londonderry",BT49 9DA,Limavady,Restaurant, 
-6.950155472890409,55.050337110703872,38,41,Douglas' Bar,"6- 8 Irish Green Street, Limavady, County Londonderry",BT49 9AD,Limavady,Pub, 
-6.949798738789757,55.04991917465118,39,42,The Crown Bar,"24-26 Irish Green Street, Limavady, County Londonderry",BT49 9AE,Limavady,Pub, 
-6.95276257930986,55.049917638451632,40,43,SWEET Nightclub,"Catherine St, Limavady, County Londonderry",BT49 9DA,Limavady,Night Club, 
-6.953084445414765,55.050467714706059,41,44,Banters,"22 Linenhall Street, Limavady, County Londonderry",BT49 0HQ,Limavady,Pub, 
-6.953199779782039,55.050535321294355,42,45,Belmont Bar and Lounge,"24-26 Linenhall Street, Limavady, County Londonderry",BT49 0HQ,Limavady,Pub, 
-6.952480947922115,55.051481802754182,43,47, , , , , , 
-6.951644643292281,55.051833816961384,44,48,The Corner Bar,"41-43 Main Street, Limavady, County Londonderry",BT49 0EP,Limavady,Pub, 
-6.951832397793292,55.052173373909326,45,49,The Alexander Arms,"34 Main Street, Limavady, County Londonderry",BT49 0EU,Limavady,Hotel, 
-6.95088021379776,55.052574385162409,46,50,Owens' Bar,"50 Main Street, Limavady, County Londonderry",BT49 0EU,Limavady,Pub, 
-6.949268206037205,55.053271920679599,47,51,The Depot,"88 Main Street, Limavady, County Londonderry",BT49 0ET,Limavady,Night Club, 
-6.964204704751913,55.089098496496412,48,52,The Coast Bar and Restaurant,"144 Seacoast Road, Limavady, County Londonderry",BT49 9EG,Limavady,Restaurant, 
-6.948072950860105,55.044470337141526,49,53,Newtown Inn,"165 Irish Green Street, Limavady, County Londonderry",BT49 9AR,Limavady,Pub, 
-7.017351991770285,55.044748414423516,50,54,Calablanca,"65 Main Street, Ballykelly, County Londonderry",BT49 9HS,Ballykelly,Pub, 
-6.921689521284422,54.925778204321773,51,60,McReynolds Bar,"127 Main Street, Dungiven, County Londonderry",BT47 4LF,Dungiven,Pub, 
-6.240776885243595,55.205859279109831,52,61,Anglers Arms,"12 North Street, Ballycastle, County Antrim",BT54 6BN,Ballycastle,Pub, 
-6.254584580184229,55.199998105096178,53,62,The Castle Bar,"11 Castle Street, Ballycastle, County Antrim",BT54 6AS,Ballycastle,Pub, 
-6.249997321801169,55.201404019772639,54,63,The Central Winebar,"12 Ann Street, Ballycastle, County Antrim",BT54 6AD,Ballycastle,Restaurant, 
-6.250649098903527,55.200845303528425,55,65,The Boyd Arms,"4 The Diamond, Ballycastle, County Antrim",BT54 6AW,Ballycastle,Pub, 
-6.2513581991763,55.200632734246014,56,66,Glenshesk Bar,"74 Castle Street, Ballycastle, County Antrim",BT54 6AR,Ballycastle,Pub, 
-6.248445884640046,55.209467406904949,57,67,The Coast Inn,"21 Clare Road, Ballycastle, County Antrim",BT54 6DB,Ballycastle,Pub, 
-6.185967292447081,55.199433098044892,58,68,Hunters Bar,"106 Cushendall Road, Ballycastle, County Antrim",BT54 6RA,Ballycastle,Pub, 
-6.357300705147465,55.236480778020642,59,69,Carrick-a-Rede Hotel,"21 Main Street, Ballintoy, County Antrim",BT54 6LX,Ballintoy,Hotel, 
-6.357839829479261,55.236289606331518,60,70,The Fullerton Arms,"22-24 Main St, Ballintoy, County Antrim",BT54 6LX,Ballintoy,Pub, 
-6.191442453533022,55.2916875578073,61,71,McCuaig's Bar,"Rathlin Island, Ballycastle, County Antrim",BT54 6RT,Rathlin Island,Pub, 
-6.326105297484325,55.1315507403814,62,72,McClaffertys Bar,"167 Hillside Road, Armoy, County Antrim",BT53 8RH,Armoy,Pub, 
-6.297675907854178,55.088616243134503,63,73,The Glen Bar,"24 Glenbush Road, Armoy, County Antrim",BT53 8YG,Armoy,Pub, 
